lunar_month,sex,crown_rump_length_mm,right_vertical_diameter_mm,left_vertical_diameter_mm,right_sagittal_diameter_mm,left_sagittal_diameter_mm,right_projection_surface_area_mm2,left_projection_surface_area_mm2,right_volume_mm3,left_volume_mm3,dataset
4,F,130,6.5,6.41,8.2,8.01,22.53,22,24.33,24.09,Grzonkowska et al
4,M,130,7.1,7,8.2,8.01,39.01,38.09,42.52,42.1,Grzonkowska et al
4,F,140,7.4,7.29,8.22,8.03,40.75,39.8,44.83,44.39,Grzonkowska et al
4,F,143,7.4,7.29,8.25,8.06,40.9,39.94,45.81,45.36,Grzonkowska et al
4,M,146,7.48,7.37,8.52,8.32,42.7,41.69,48.25,47.77,Grzonkowska et al
4,F,147,7.6,7.49,9.02,8.81,45.93,44.85,51.9,51.39,Grzonkowska et al
4,M,150,7.8,7.69,9.12,8.91,47.66,46.54,54.81,54.27,Grzonkowska et al
5,F,159,8.4,8.28,9.42,9.2,53.02,51.77,62.56,61.94,Grzonkowska et al
5,M,160,8.4,8.28,9.52,9.3,53.58,52.32,63.22,62.6,Grzonkowska et al
5,M,160,8.51,8.39,9.62,9.39,54.85,53.56,64.72,64.08,Grzonkowska et al
5,F,165,8.58,8.46,9.82,9.59,56.45,55.12,67.18,66.2,Grzonkowska et al
5,F,171,8.8,8.67,9.92,9.61,58.49,57.11,69.6,68.59,Grzonkowska et al
5,M,175,9,8.87,10.12,9.69,61.02,59.59,72.62,71.56,Grzonkowska et al
5,M,175,9.14,9.01,10.12,9.88,61.97,61.55,74.37,73.29,Grzonkowska et al
5,M,183,9.26,9.13,10.16,9.91,63.03,62.38,75.64,74.54,Grzonkowska et al
5,M,185,9.4,9.26,10.18,10.05,64.11,63.44,77.58,76.45,Grzonkowska et al
5,F,186,9.5,9.36,10.32,10.05,65.69,65,79.48,78.33,Grzonkowska et al
5,F,197,9.8,9.66,10.38,10.07,68.16,67.44,82.47,81.27,Grzonkowska et al
5,F,197,9.9,9.8,10.52,10.1,69.78,69.05,85.13,84.29,Grzonkowska et al
5,M,202,10.3,10.2,10.61,10.21,70.26,69.53,87.12,86.26,Grzonkowska et al
6,M,205,10.4,10.3,10.71,10.27,73.22,72.46,89.33,88.45,Grzonkowska et al
6,M,206,10.67,10.56,10.81,10.41,73.77,73,91.79,90.88,Grzonkowska et al
6,M,208,10.8,10.69,9.71,10.5,74.63,73.85,92.22,91.31,Grzonkowska et al
6,F,213,11,10.89,10.01,10.6,77.28,76.47,95.05,94.11,Grzonkowska et al
6,F,214,11.5,11.39,10.21,10.6,78.67,77.85,98.34,97.36,Grzonkowska et al
6,M,225,11.7,11.58,10.71,10.7,83.96,83.08,106.62,105.57,Grzonkowska et al
6,F,233,11.88,11.76,13.03,12.89,103.71,102.63,132.75,131.44,Grzonkowska et al
6,M,239,13.22,13.09,13.13,12.99,116.3,115.08,151.19,149.69,Grzonkowska et al
6,M,241,14.2,14.06,15.53,15.38,147.75,146.32,195.03,193.11,Grzonkowska et al
6,M,241,14.2,14.06,15.63,15.48,148.7,147.26,196.29,194.13,Grzonkowska et al
6,F,249,14.2,14.06,16.23,16.07,154.41,152.92,208.46,206.17,Grzonkowska et al
6,F,250,14.5,14.36,19.83,18.65,183.69,181.91,260.84,257.97,Grzonkowska et al
7,F,253,14.56,14.42,18.83,18.94,192.65,190.78,265.85,262.93,Grzonkowska et al
7,F,253,15.3,15.15,19.13,19.64,196.1,194.2,284.35,281.22,Grzonkowska et al
7,F,262,15.9,15.75,20.43,20.23,217.64,215.53,319.93,316.42,Grzonkowska et al
7,M,263,16.53,16.37,22.03,21.82,243.98,241.62,363.54,359.54,Grzonkowska et al
7,M,263,17.76,17.59,27.54,27.27,327.7,324.53,488.28,482.91,Grzonkowska et al
